Data,Open,High,Low,Close,Volume
1995-07-12,5.5912,5.5912,5.5912,5.5912,58377.0
1995-07-13,5.7187,5.7187,5.7187,5.7187,33152.0
1995-07-14,5.7187,5.7187,5.7187,5.7187,32800.0
1995-07-17,5.8756,5.8756,5.8756,5.8756,33674.0
1995-07-18,5.856,5.856,5.856,5.856,103252.0
1995-07-19,5.7776,5.7776,5.7776,5.7776,36435.0
1995-07-20,5.6108,5.6108,5.6108,5.6108,61459.0
1995-07-21,5.4735,5.4735,5.4735,5.4735,101003.0
1995-07-24,5.1596,5.1596,5.1596,5.1596,97039.0
1995-07-25,5.2872,5.2872,5.2872,5.2872,135082.0
1995-07-26,5.2872,5.2872,5.2872,5.2872,89298.0
1995-07-27,5.8168,5.8168,5.8168,5.8168,303774.0
1995-07-28,6.3956,6.3956,6.3956,6.3956,417313.0
1995-07-31,6.0228,6.0228,6.0228,6.0228,121113.0
1995-08-01,6.0032,6.0032,6.0032,6.0032,164255.0
1995-08-02,6.1013,6.1013,6.1013,6.1013,118911.0
1995-08-03,5.9639,5.9639,5.9639,5.9639,72713.0
1995-08-04,5.856,5.856,5.856,5.856,20395.0
1995-08-07,5.9051,5.9051,5.9051,5.9051,67536.0
1995-08-08,5.6304,5.6304,5.6304,5.6304,28932.0
1995-08-09,5.5716,5.5716,5.5716,5.5716,61010.0
1995-08-10,5.8364,5.8364,5.8364,5.8364,97534.0
1995-08-11,5.7972,5.7972,5.7972,5.7972,66662.0
1995-08-16,5.9836,5.9836,5.9836,5.9836,87341.0
1995-08-17,5.9836,5.9836,5.9836,5.9836,69954.0
1995-08-18,5.9836,5.9836,5.9836,5.9836,67029.0
1995-08-21,5.758,5.758,5.758,5.758,18237.0
1995-08-22,6.0032,6.0032,6.0032,6.0032,156759.0
1995-08-23,6.0032,6.0032,6.0032,6.0032,84543.0
1995-08-24,5.9443,5.9443,5.9443,5.9443,31809.0
1995-08-25,5.9836,5.9836,5.9836,5.9836,43627.0
1995-08-28,6.2092,6.2092,6.2092,6.2092,83121.0
1995-08-29,6.3073,6.3073,6.3073,6.3073,132090.0
1995-08-30,6.3073,6.3073,6.3073,6.3073,87399.0
1995-08-31,6.3073,6.3073,6.3073,6.3073,127414.0
1995-09-01,6.4152,6.4152,6.4152,6.4152,102220.0
1995-09-04,6.7193,6.7193,6.7193,6.7193,116074.0
1995-09-05,6.886,6.886,6.886,6.886,175919.0
1995-09-06,6.9253,6.9253,6.9253,6.9253,101737.0
1995-09-07,7.0233,7.0233,7.0233,7.0233,148353.0
1995-09-08,7.3176,7.3176,7.3176,7.3176,139184.0
1995-09-11,7.661,7.661,7.661,7.661,173900.0
1995-09-12,7.6217,7.6217,7.6217,7.6217,111397.0
1995-09-13,7.4354,7.4354,7.4354,7.4354,159341.0
1995-09-14,7.6806,7.6806,7.6806,7.6806,137903.0
1995-09-15,7.6021,7.6021,7.6021,7.6021,151429.0
1995-09-18,7.2294,7.2294,7.2294,7.2294,100246.0
1995-09-19,6.5133,6.5133,6.5133,6.5133,92936.0
1995-09-20,6.4741,6.4741,6.4741,6.4741,106347.0
1995-09-21,6.5721,6.5721,6.5721,6.5721,127499.0
1995-09-22,6.4937,6.4937,6.4937,6.4937,48502.0
1995-09-25,6.5329,6.5329,6.5329,6.5329,51027.0
1995-09-26,6.6212,6.6212,6.6212,6.6212,74049.0
1995-09-27,6.8272,6.8272,6.8272,6.8272,80980.0
1995-09-28,6.1503,6.1503,6.1503,6.1503,206142.0
1995-09-29,6.5329,6.5329,6.5329,6.5329,88285.0
1995-10-02,6.6212,6.6212,6.6212,6.6212,68681.0
1995-10-03,6.5721,6.5721,6.5721,6.5721,44248.0
1995-10-04,6.2092,6.2092,6.2092,6.2092,40029.0
1995-10-05,6.1013,6.1013,6.1013,6.1013,51841.0
1995-10-06,6.3073,6.3073,6.3073,6.3073,47223.0
1995-10-09,6.0228,6.0228,6.0228,6.0228,23494.0
1995-10-10,5.9639,5.9639,5.9639,5.9639,61639.0
1995-10-11,5.9443,5.9443,5.9443,5.9443,64043.0
1995-10-12,5.9443,5.9443,5.9443,5.9443,43338.0
1995-10-13,5.9051,5.9051,5.9051,5.9051,51775.0
1995-10-16,5.856,5.856,5.856,5.856,23211.0
1995-10-17,6.0032,6.0032,6.0032,6.0032,73132.0
1995-10-18,5.9639,5.9639,5.9639,5.9639,30191.0
1995-10-19,5.7972,5.7972,5.7972,5.7972,40102.0
1995-10-20,5.4735,5.4735,5.4735,5.4735,22760.0
1995-10-23,5.4735,5.4735,5.4735,5.4735,55206.0
1995-10-24,5.3656,5.3656,5.3656,5.3656,46479.0
1995-10-25,5.3656,5.3656,5.3656,5.3656,37539.0
1995-10-26,5.4735,5.4735,5.4735,5.4735,37569.0
1995-10-27,5.6795,5.6795,5.6795,5.6795,65552.0
1995-10-30,5.6795,5.6795,5.6795,5.6795,15946.0
1995-10-31,5.5128,5.5128,5.5128,5.5128,36563.0
